City,date,latitude,longitude,insat_aod,cloud_mask,qa_flag,solar_zenith_angle,satellite_zenith_angle,observation_time
Delhi,2024-01-01,28.6139,77.209,0.754901424590337,0,0,24.86,14.41,08:30:00
Delhi,2024-01-04,28.6139,77.209,0.5859015926602661,0,0,25.02,15.79,08:30:00
Delhi,2024-01-05,28.6139,77.209,0.6294592777343637,0,0,24.96,15.17,08:30:00
Delhi,2024-01-06,28.6139,77.209,0.6056075544135963,0,0,25.57,15.94,08:30:00
Delhi,2024-01-07,28.6139,77.209,0.6919808393024358,0,0,26.77,14.97,08:30:00
Delhi,2024-01-09,28.6139,77.209,0.6770964265823207,0,0,28.84,15.55,08:30:00
Delhi,2024-01-10,28.6139,77.209,0.7719028311684584,0,0,27.08,11.04,08:30:00
Delhi,2024-01-11,28.6139,77.209,0.6740610125050105,0,0,27.89,12.17,08:30:00
Delhi,2024-01-12,28.6139,77.209,0.7109328664788408,0,0,29.35,17.22,08:30:00
Delhi,2024-01-14,28.6139,77.209,0.7490236287244636,0,0,28.96,14.54,08:30:00
Delhi,2024-01-15,28.6139,77.209,0.5839099507798191,0,0,28.58,14.82,08:30:00
Delhi,2024-01-17,28.6139,77.209,0.6880630275865043,0,0,30.78,14.0,08:30:00
Delhi,2024-01-19,28.6139,77.209,0.6892528232960652,0,0,29.11,18.69,08:30:00
Delhi,2024-01-21,28.6139,77.209,0.6737934499457442,0,0,32.91,18.43,08:30:00
Delhi,2024-01-22,28.6139,77.209,0.7215665988186449,0,0,31.82,14.08,08:30:00
Delhi,2024-01-23,28.6139,77.209,0.6191120086041868,0,0,32.1,8.36,08:30:00
Delhi,2024-01-25,28.6139,77.209,0.5851114286500197,0,0,33.43,15.64,08:30:00
Delhi,2024-01-26,28.6139,77.209,0.682566622527015,0,0,31.43,14.93,08:30:00
Delhi,2024-01-30,28.6139,77.209,0.7676704715679804,0,0,33.69,15.19,08:30:00
Delhi,2024-02-01,28.6139,77.209,0.6486457303765142,0,0,33.62,15.17,08:30:00
Delhi,2024-02-02,28.6139,77.209,0.507280888588217,0,0,35.94,13.04,08:30:00
Delhi,2024-02-03,28.6139,77.209,0.6640881545138299,0,1,36.57,11.92,08:30:00
Delhi,2024-02-04,28.6139,77.209,0.631173798038124,0,0,37.36,15.65,08:30:00
Delhi,2024-02-05,28.6139,77.209,0.6345546861533192,0,0,36.86,15.74,08:30:00
Delhi,2024-02-06,28.6139,77.209,0.6491647855103765,0,0,36.96,15.73,08:30:00
Delhi,2024-02-09,28.6139,77.209,0.6403125381122736,0,0,38.4,16.03,08:30:00
Delhi,2024-02-12,28.6139,77.209,0.5251007239799006,0,0,39.06,14.34,08:30:00
Delhi,2024-02-16,28.6139,77.209,0.6660261330296599,0,1,40.01,12.68,08:30:00
Delhi,2024-02-17,28.6139,77.209,0.7129610404709313,0,1,40.1,19.41,08:30:00
Delhi,2024-02-18,28.6139,77.209,0.5594286116883541,0,0,38.9,17.64,08:30:00
Delhi,2024-02-19,28.6139,77.209,0.7021408257843892,0,0,38.98,18.46,08:30:00
Delhi,2024-02-20,28.6139,77.209,0.5487036587986969,0,1,39.56,15.06,08:30:00
Delhi,2024-02-21,28.6139,77.209,0.6671574196643718,0,0,41.72,17.47,08:30:00
Delhi,2024-02-22,28.6139,77.209,0.5898688847452921,0,0,40.78,15.41,08:30:00
Delhi,2024-02-25,28.6139,77.209,0.455055482578158,0,0,41.78,11.82,08:30:00
Delhi,2024-02-26,28.6139,77.209,0.5019210787217739,0,0,43.27,15.04,08:30:00
Delhi,2024-02-27,28.6139,77.209,0.5129122205060019,0,0,41.18,10.83,08:30:00
Delhi,2024-02-29,28.6139,77.209,0.5352501230227886,0,0,40.74,17.29,08:30:00
Delhi,2024-03-01,28.6139,77.209,0.570864685910379,0,0,43.21,18.17,08:30:00
Delhi,2024-03-03,28.6139,77.209,0.46401673577301356,0,0,41.59,10.01,08:30:00
Delhi,2024-03-04,28.6139,77.209,0.5018942147521969,0,0,42.55,13.84,08:30:00
Delhi,2024-03-05,28.6139,77.209,0.5721052670692054,0,0,45.19,14.49,08:30:00
Delhi,2024-03-06,28.6139,77.209,0.5308768982135148,0,1,41.1,18.2,08:30:00
Delhi,2024-03-07,28.6139,77.209,0.37474598966686007,0,1,45.25,16.1,08:30:00
Delhi,2024-03-08,28.6139,77.209,0.5139450633430946,0,0,42.8,15.52,08:30:00
Delhi,2024-03-11,28.6139,77.209,0.3579104173582741,0,0,44.26,16.38,08:30:00
Delhi,2024-03-12,28.6139,77.209,0.5156461612621756,0,1,42.01,11.95,08:30:00
Delhi,2024-03-13,28.6139,77.209,0.4839239181545636,0,1,45.07,18.88,08:30:00
Delhi,2024-03-14,28.6139,77.209,0.3763144637357717,0,0,44.03,17.33,08:30:00
Delhi,2024-03-15,28.6139,77.209,0.46755435719238675,0,0,45.07,14.32,08:30:00
