City,date,latitude,longitude,CPCB_AQI,CPCB_PM25,CPCB_PM10,CPCB_NO2_surface,CPCB_SO2,CPCB_CO_surface,CPCB_O3,TROPOMI_CO_mol_m2,TROPOMI_HCHO_mol_m2,TROPOMI_NO2_mol_m2,temp_c,dewpoint_c,wind_speed_ms,pressure_hpa,precip_mm,rel_humidity_pct,insat_aod,qa_flag,solar_zenith_angle,satellite_zenith_angle
Bangalore,2024-01-01,12.9716,77.5946,91.0,50.05,98.28,75.53,103.74,0.96,86.45,0.0400045523282547,-7.414026753463683e-06,0.00010195765143,21.675761795043968,13.676997121175134,2.279099277104236,912.9625227864584,0.0029385088851086,60.399380707857155,0.2722226448013928,0.0,24.861735698828817,14.41461656319166
Bangalore,2024-01-02,12.9716,77.5946,93.0,51.15,100.44,77.19,106.02,0.98,88.35,0.0400045523282547,0.0001752303108793,7.776185593851348e-05,20.49041328430178,14.08144022623702,2.3063309528905105,912.4494124348956,0.0026166438829022,66.68702707982094,0.3048962090443478,0.0,24.76338898909318,13.687075482054633
Bangalore,2024-01-04,12.9716,77.5946,98.0,53.9,105.84,81.34,111.72,1.03,93.1,0.0411184843421822,0.0001752303108793,7.776185593851348e-05,20.212662633260095,17.495980199178064,2.2163162594499113,912.248486328125,3.4919828177066004,84.39432005980078,0.7140739550056812,0.0,23.775151987797116,12.46792219916394
Bangalore,2024-01-05,12.9716,77.5946,93.0,51.15,100.44,77.19,106.02,0.98,88.35,0.0363836471049764,0.0001752303108793,7.776185593851348e-05,21.318839645385765,17.35499280293783,2.4981665324109836,911.9951513671876,0.3129541873931885,78.14069678863932,0.4774890334276656,0.0,25.402918383540825,16.49430116728152
Bangalore,2024-01-06,12.9716,77.5946,88.0,48.4,95.04,73.04,100.32,0.92,83.6,0.0375764179849363,0.0001752303108793,7.776185593851348e-05,22.283820724487327,17.26566785176601,2.8178185555868787,912.3201025390624,0.1399546861193812,73.25404101531959,0.336618429058648,0.0,26.486971125756263,13.498403275202987
Bangalore,2024-01-07,12.9716,77.5946,76.0,41.8,82.08,63.08,86.64,0.8,72.2,0.0397424547055887,5.0735502122150257e-05,6.295435886405096e-05,22.261355972290065,15.654941177368189,3.2493212166950705,912.4593717447916,0.0552415847323572,66.21055059190714,0.2246710586411706,0.0,26.18564717090645,14.986180344199685
Bangalore,2024-01-09,12.9716,77.5946,73.0,40.15,78.84,60.59,83.22,0.77,69.35,0.033626437519834,5.0735502122150257e-05,6.295435886405096e-05,20.996325429280603,16.513431167602562,3.514659229350116,913.2848746744792,0.1023617434725565,75.56292885551628,0.3286047626283689,0.0,25.841190298977672,11.679534877753923
Bangalore,2024-01-10,12.9716,77.5946,122.0,67.1,131.76,101.26,139.08,1.28,115.9,0.0346521693381598,5.0735502122150257e-05,6.295435886405096e-05,20.755811945597316,15.252772903442406,2.9491842227555556,913.3332389322916,0.0100731831480516,70.7538851139129,0.4488530136100319,1.0,27.622799214040917,17.204402597371526
Bangalore,2024-01-11,12.9716,77.5946,92.0,50.6,99.36,76.36,104.88,0.97,87.4,0.036153391166105,0.0001292534071547,6.821897843431683e-05,20.867161051432333,13.205824152628622,3.16360242192913,913.3160481770832,0.0,61.55172063334809,0.2464723321893448,0.0,27.444471746676005,13.848403072600531
Bangalore,2024-01-12,12.9716,77.5946,88.0,48.4,95.04,73.04,100.32,0.92,83.6,0.0364204793843665,-1.9549753981881377e-05,5.1251739564133154e-05,20.32149976094564,13.860164896647175,3.1421208862858587,913.5000520833332,0.0,66.4258452321584,0.3059435789506479,0.0,28.668299207998665,17.21937114898339
Bangalore,2024-01-13,12.9716,77.5946,107.0,58.85,115.56,88.81,121.98,1.12,101.65,0.03807613492719,0.0001626096612768,0.000109417920937,21.13228886922201,15.289746856689476,2.343844957162649,914.0006640625,0.0017881393432617,69.29963717797237,0.3630565294627977,0.0,28.11665050777834,13.802064405386774
